0,0
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.23,0.0002
0.24,0
0.25,0
0.26,0.0001
0.27,0.0001
0.28,0.0002
0.29,0.0006
0.3,0.0007
0.31,0.0009
0.32,0.0015
0.33,0.0028
0.34,0.0026
0.35,0.0042
0.36,0.0065
0.37,0.0079
0.38,0.0104
0.39,0.0142
0.4,0.019
0.41,0.0233
0.42,0.0331
0.43,0.0351
0.44,0.0494
0.45,0.0595
0.46,0.0804
0.47,0.0879
0.48,0.1132
0.49,0.1348
0.5,0.1616
0.51,0.1912
0.52,0.2217
0.53,0.2562
0.54,0.2928
0.55,0.3237
0.56,0.3671
0.57,0.4171
0.58,0.4535
0.59,0.5017
0.6,0.5551
0.61,0.5992
0.62,0.6419
0.63,0.6859
0.64,0.7221
0.65,0.7615
0.66,0.7899
0.67,0.8353
0.68,0.8558
0.69,0.8859
0.7,0.9044
0.71,0.9258
0.72,0.9337
0.73,0.953
0.74,0.9589
0.75,0.9704
0.76,0.9804
0.77,0.9873
0.78,0.9915
0.79,0.9928
0.8,0.9951
0.81,0.9957
0.82,0.9985
0.83,0.9989
0.84,0.9988
0.85,0.9996
0.86,0.9998
0.87,1
0.88,0.9999
0.89,1
0.9,0.9999
0.91,1
0.92,1
0.93,1
0.94,1
0.95,1
0.96,1
0.97,1
0.98,1
0.99,1
